,CH1
Second,Volt
2.37200e-04,1.44e-01, 
2.38200e-04,8.80e-02, 
2.39200e-04,8.80e-02, 
2.40200e-04,4.00e-02, 
2.41200e-04,4.00e-02, 
2.42200e-04,5.60e-02, 
2.43200e-04,5.60e-02, 
2.44200e-04,3.20e-02, 
2.45200e-04,2.40e-02, 
2.46200e-04,6.40e-02, 
2.47200e-04,5.60e-02, 
2.48200e-04,-8.00e-03, 
2.49200e-04,-1.60e-02, 
2.50200e-04,-6.40e-02, 
2.51200e-04,-6.40e-02, 
2.52200e-04,-4.00e-02, 
2.53200e-04,-6.40e-02, 
2.54200e-04,-3.20e-02, 
2.55200e-04,-6.40e-02, 
2.56200e-04,-2.40e-02, 
2.57200e-04,-3.20e-02, 
2.58200e-04,-1.04e-01, 
2.59200e-04,-1.20e-01, 
2.60200e-04,-1.68e-01, 
2.61200e-04,-1.44e-01, 
2.62200e-04,-1.60e-01, 
2.63200e-04,-1.60e-01, 
2.64200e-04,-1.20e-01, 
2.65200e-04,-1.44e-01, 
2.66200e-04,-8.80e-02, 
2.67200e-04,-1.12e-01, 
2.68200e-04,-1.92e-01, 
2.69200e-04,-1.92e-01, 
2.70200e-04,-2.64e-01, 
2.71200e-04,-2.48e-01, 
2.72200e-04,-2.08e-01, 
2.73200e-04,-2.32e-01, 
2.74200e-04,-2.00e-01, 
2.75200e-04,-2.16e-01, 
2.76200e-04,-1.76e-01, 
2.77200e-04,-1.76e-01, 
2.78200e-04,-2.56e-01, 
2.79200e-04,-2.64e-01, 
2.80200e-04,-3.20e-01, 
2.81200e-04,-3.20e-01, 
2.82200e-04,-2.72e-01, 
2.83200e-04,-2.56e-01, 
2.84200e-04,-2.88e-01, 
2.85200e-04,-2.64e-01, 
2.86200e-04,-2.08e-01, 
2.87200e-04,-2.16e-01, 
2.88200e-04,-2.88e-01, 
2.89200e-04,-3.04e-01, 
2.90200e-04,-3.44e-01, 
2.91200e-04,-3.44e-01, 
2.92200e-04,-3.04e-01, 
2.93200e-04,-3.20e-01, 
2.94200e-04,-2.72e-01, 
2.95200e-04,-2.96e-01, 
2.96200e-04,-2.48e-01, 
2.97200e-04,-2.48e-01, 
2.98200e-04,-3.12e-01, 
